"bonus_id","employee_id","bonus_type","bonus_amount","bonus_month","bonus_year","payment_date","reason","bank_account"
1,1049,"Sales Target",31780.6,10,2021,"2021-10-11","Sales Target Bonus for excellent performance","3745-2589-6348-3745"
2,1032,"Performance",35924.73,5,2021,"2021-05-15","Performance Bonus for excellent performance","2522-5455-5315-9647"
3,1011,"Performance",70146.65,12,2021,"2021-12-16","Performance Bonus for excellent performance","5729-5653-1135-1614"
4,1061,"Sales Target",28017.92,1,2021,"2021-01-13","Sales Target Bonus for excellent performance","2508-2652-8903-6319"
5,1042,"Eid",23287.5,6,2021,"2021-06-14","Eid Bonus for excellent performance","6691-5702-3635-5514"
6,1037,"Annual",38558.82,10,2021,"2021-10-14","Annual Bonus for excellent performance","8072-7400-4744-5917"
7,1055,"Performance",56924.01,5,2021,"2021-05-10","Performance Bonus for excellent performance","7469-6094-3074-4755"
8,1005,"Eid",43497.5,7,2021,"2021-07-15","Eid Bonus for excellent performance","7539-2077-5862-8802"
9,1023,"Performance",50276.11,8,2021,"2021-08-16","Performance Bonus for excellent performance","2565-7123-6334-9723"
10,1038,"Sales Target",25787.56,2,2021,"2021-02-19","Sales Target Bonus for excellent performance","8380-8866-1340-9229"
11,1045,"Sales Target",52366.42,11,2021,"2021-11-19","Sales Target Bonus for excellent performance","6676-9062-1224-4898"
12,1025,"Annual",84444.58,7,2021,"2021-07-15","Annual Bonus for excellent performance","4622-1750-3700-9508"
13,1020,"Sales Target",13098.32,1,2021,"2021-01-16","Sales Target Bonus for excellent performance","6768-7098-6592-6664"
14,1053,"Performance",17088.92,12,2021,"2021-12-15","Performance Bonus for excellent performance","9563-2330-1982-3689"
15,1034,"Special Achievement",126072.03,2,2021,"2021-02-12","Special Achievement Bonus for excellent performance","5902-8099-2787-2598"
16,1063,"Annual",71660.1,8,2021,"2021-08-11","Annual Bonus for excellent performance","8233-1379-4920-8478"
17,1069,"Performance",31698.5,11,2021,"2021-11-13","Performance Bonus for excellent performance","5915-9237-5847-2593"
18,1006,"Eid",54759.12,11,2021,"2021-11-12","Eid Bonus for excellent performance","4710-4285-3932-6833"
19,1044,"Eid",77199.64,1,2021,"2021-01-17","Eid Bonus for excellent performance","5985-4219-6851-6187"
20,1007,"Special Achievement",17596.56,5,2021,"2021-05-10","Special Achievement Bonus for excellent performance","7290-2268-6846-2368"
21,1033,"Annual",57680.05,7,2021,"2021-07-16","Annual Bonus for excellent performance","1493-1596-3811-1750"
22,1014,"Sales Target",38669.69,12,2021,"2021-12-17","Sales Target Bonus for excellent performance","2355-9690-7777-1551"
23,1009,"Special Achievement",60837.15,9,2021,"2021-09-15","Special Achievement Bonus for excellent performance","8074-2213-3311-4399"
24,1003,"Eid",28568.83,6,2021,"2021-06-17","Eid Bonus for excellent performance","5968-8547-9917-6904"
25,1008,"Performance",63328.85,10,2021,"2021-10-10","Performance Bonus for excellent performance","1258-5398-7757-3213"
26,1030,"Annual",223897.92,1,2021,"2021-01-12","Annual Bonus for excellent performance","5210-1546-2983-7429"
27,1017,"Special Achievement",27104.66,12,2021,"2021-12-10","Special Achievement Bonus for excellent performance","8652-6110-7007-1701"
28,1067,"Annual",604645.32,9,2021,"2021-09-16","Annual Bonus for excellent performance","4702-6628-6624-4875"
29,1054,"Eid",34823.09,2,2021,"2021-02-15","Eid Bonus for excellent performance","7578-8181-6855-9807"
30,1012,"Sales Target",22636.59,7,2021,"2021-07-15","Sales Target Bonus for excellent performance","5572-6065-7038-7971"
31,1062,"Eid",25462.05,9,2021,"2021-09-10","Eid Bonus for excellent performance","8036-9463-6486-3265"
32,1046,"Special Achievement",47448.46,6,2021,"2021-06-12","Special Achievement Bonus for excellent performance","2882-3013-2463-7799"
33,1050,"Annual",68230.99,10,2021,"2021-10-10","Annual Bonus for excellent performance","7448-4133-2911-6098"
34,1035,"Eid",33665.92,10,2021,"2021-10-18","Eid Bonus for excellent performance","7549-5840-3776-7933"
35,1043,"Eid",99065.5,9,2021,"2021-09-18","Eid Bonus for excellent performance","4930-1243-8818-9246"
