"employee_id","first_name","last_name","gender","cnic","phone","email","address","department","position","base_salary","hire_date","store_id","bank_account","status"
1000,"Zainab","Ihab","Female","57054-2280248-4","0335-5417049","zainab.ihab17@company.com","984 Waheed Loaf, Gujranwala","Maintenance","Maintenance Technician",31698,"2025-04-06",5,"6527-7359-3981-5267","Active"
1001,"Nadia","Bashaarat","Female","13121-6331240-3","0356-6136964","nadia.bashaarat20@company.com","499 Qadeer Junctions, Rawalpindi","Administration","Admin Assistant",40995,"2023-08-21",1,"6316-6301-3614-9070","On Leave"
1002,"Muhammad","Rabb","Male","26506-6073476-9","0315-1840469","muhammad.rabb76@company.com","661 Buraid Brook, Gujranwala","Sales","Sales Supervisor",54456,"2023-06-07",2,"7169-3148-5325-1482","Active"
1003,"Usman","Mahbub","Male","31155-8872114-2","0315-6319272","usman.mahbub51@company.com","352 Zaahid Mountains, Peshawar","Maintenance","Cleaner",18271,"2022-09-03",2,"5968-8547-9917-6904","Active"
1004,"Ayesha","Ghanee","Female","83697-3416773-6","0392-8013781","ayesha.ghanee98@company.com","355 Qaasim Vista, Islamabad","Security","Security Supervisor",41400,"2021-02-27",2,"9876-3815-8859-7500","Active"
1005,"Abdullah","Man","Male","75451-9033239-1","0322-1515632","abdullah.man84@company.com","957 Ihsaan Stream, Islamabad","Sales","Cashier",32418,"2022-10-14",2,"7539-2077-5862-8802","Active"
1006,"Zain","Sadan","Male","60517-7119554-1","0379-4386748","zain.sadan28@company.com","872 Basel Pass, Karachi","Sales","Cashier",28883,"2023-07-12",7,"4710-4285-3932-6833","Active"
1007,"Muhammad","Aamirah","Male","81557-8295129-8","0333-3852868","muhammad.aamirah95@company.com","118 Omar View, Lahore","Customer Service","Service Desk Staff",24512,"2023-11-12",3,"7290-2268-6846-2368","Active"
1008,"Nadia","Qabeel","Female","80129-8221209-4","0328-6520144","nadia.qabeel52@company.com","762 Jaabir Lakes, Rawalpindi","Sales","Sales Associate",35727,"2024-09-25",2,"1258-5398-7757-3213","Active"
1009,"Sara","Maawiya","Female","99786-5883886-5","0386-3320014","sara.maawiya2@company.com","160 Naeem Plains, Lahore","Sales","Sales Associate",36595,"2022-01-28",7,"8074-2213-3311-4399","Active"
1010,"Usman","Kamal","Male","43643-8150134-7","0324-7224651","usman.kamal41@company.com","713 Naail Village, Quetta","Maintenance","Maintenance Technician",36082,"2023-03-21",9,"8054-6936-5369-3886","Active"
1011,"Usman","Kaamil","Male","37769-1935141-0","0349-9693900","usman.kaamil37@company.com","256 Raakin Stream, Quetta","Management","Operations Manager",94154,"2023-02-21",8,"5729-5653-1135-1614","Active"
1012,"Usman","Sadan","Male","99601-3236210-3","0317-4398322","usman.sadan99@company.com","659 Limazah Tunnel, Islamabad","Customer Service","Service Desk Staff",29068,"2023-12-11",5,"5572-6065-7038-7971","Active"
1013,"Omar","Wadi","Male","99494-3248561-4","0398-4417970","omar.wadi35@company.com","559 Qudoos Lakes, Multan","Maintenance","Cleaner",23146,"2025-07-18",6,"9829-9488-8609-1527","Active"
1014,"Ali","Umair","Male","33111-9130666-2","0313-1750346","ali.umair1@company.com","709 Idrees Terrace, Lahore","Maintenance","Cleaner",17337,"2022-10-14",4,"2355-9690-7777-1551","Active"
1015,"Omar","Tahmaseb","Male","19170-5776159-4","0346-4489330","omar.tahmaseb68@company.com","39 Yahyaa Hills, Karachi","Sales","Cashier",34721,"2024-01-15",4,"6081-3298-2244-3909","Terminated"
1016,"Zain","Gulfam","Male","27883-5974888-4","0344-8965324","zain.gulfam6@company.com","809 Ayaan Island, Gujranwala","Maintenance","Cleaner",21428,"2022-06-07",8,"5877-9831-7453-2522","Active"
1017,"Usman","Naeem","Male","12336-7204535-8","0375-1935297","usman.naeem79@company.com","988 Baber Manor, Lahore","Security","Security Guard",25259,"2021-09-18",9,"8652-6110-7007-1701","Active"
1018,"Ayesha","Saahir","Female","35877-1691773-2","0335-2716103","ayesha.saahir9@company.com","995 Talha Cliff, Multan","Security","Security Supervisor",35034,"2025-01-27",2,"5264-2779-5397-3336","Active"
1019,"Usman","Talhah","Male","91460-3257085-4","0336-2231691","usman.talhah37@company.com","159 Aabid Creek, Rawalpindi","Maintenance","Maintenance Technician",43606,"2024-06-01",6,"2901-3220-5839-8084","Active"
1020,"Khadija","Maheen","Female","22329-2833308-4","0317-3301648","khadija.maheen95@company.com","32 Wafa Heights, Quetta","Inventory","Warehouse Worker",21358,"2023-06-18",3,"6768-7098-6592-6664","Active"
1021,"Ayesha","Yawer","Female","57251-3529486-2","0380-1793659","ayesha.yawer32@company.com","79 Nabih Canyon, Lahore","Customer Service","Service Desk Staff",24821,"2023-07-20",3,"9063-4786-7362-9428","Active"
1022,"Hassan","Najeeb","Male","95606-5275253-9","0347-8603529","hassan.najeeb88@company.com","162 Bashaarat Locks, Gujranwala","Maintenance","Cleaner",24519,"2024-08-10",8,"3616-2371-8946-3976","Active"
1023,"Fatima","Saafir","Female","72868-1941615-1","0394-7725218","fatima.saafir32@company.com","874 Ibaad Squares, Faisalabad","Administration","HR Officer",57728,"2021-03-04",5,"2565-7123-6334-9723","Active"
1024,"Ayesha","Quadir","Female","97560-8563309-3","0345-2265779","ayesha.quadir26@company.com","751 Ilan Springs, Faisalabad","Sales","Sales Associate",37031,"2022-06-02",2,"8414-3124-1539-8748","On Leave"
1025,"Bilal","Yaghnam","Male","35875-4451867-8","0369-6657069","bilal.yaghnam39@company.com","774 Jabbaar Crossroad, Islamabad","Security","Security Supervisor",36465,"2023-11-30",3,"4622-1750-3700-9508","Active"
1026,"Omar","Maawiya","Male","33299-2093211-7","0352-6055911","omar.maawiya73@company.com","817 Qaseem Drive, Islamabad","Administration","HR Officer",69959,"2024-05-12",2,"8325-4059-1383-3017","Active"
1027,"Zainab","Esfandyar","Female","73068-9073214-6","0390-6884522","zainab.esfandyar72@company.com","852 Raid Port, Multan","Customer Service","Customer Representative",27469,"2020-09-17",9,"1126-1882-1452-5352","Active"
1028,"Sara","Sabil","Female","95611-4330293-6","0369-3467886","sara.sabil74@company.com","258 Saal Stravenue, Gujranwala","Inventory","Inventory Manager",54568,"2023-05-08",9,"6879-3397-4643-6674","Active"
1029,"Muhammad","Umar","Male","23384-5747938-9","0395-3944982","muhammad.umar70@company.com","80 Sair Springs, Karachi","Inventory","Stock Clerk",26634,"2021-07-29",8,"3153-8583-1472-9328","Active"
1030,"Khadija","Zahur","Female","83577-7755839-0","0372-9449870","khadija.zahur93@company.com","387 Bahaa Plains, Peshawar","Inventory","Inventory Manager",64162,"2023-01-08",2,"5210-1546-2983-7429","Active"
1031,"Ali","Raakin","Male","40278-8914325-7","0356-7778296","ali.raakin9@company.com","2 Talib Mountain, Faisalabad","Security","Security Guard",18840,"2023-01-18",8,"7502-9808-8351-7871","Active"
1032,"Hussain","Zahrun","Male","77758-9908401-7","0390-7461197","hussain.zahrun94@company.com","447 Sadaqat Parkway, Quetta","Maintenance","Cleaner",23230,"2021-05-02",6,"2522-5455-5315-9647","Active"
1033,"Ali","Sabur","Male","85468-5654414-4","0396-7551192","ali.sabur46@company.com","278 Luay Center, Rawalpindi","Security","Security Supervisor",30575,"2020-12-04",1,"1493-1596-3811-1750","Active"
1034,"Sara","Tadeen","Female","73641-1075052-5","0372-7418733","sara.tadeen60@company.com","352 Yafir Crescent, Islamabad","Maintenance","Maintenance Technician",43178,"2023-11-29",9,"5902-8099-2787-2598","Active"
1035,"Ali","Sadaqat","Male","28814-6708657-5","0350-6935244","ali.sadaqat53@company.com","906 Liyaqat Field, Lahore","Security","Security Guard",28252,"2023-10-18",3,"7549-5840-3776-7933","Active"
1036,"Muhammad","Tadeen","Male","83490-7887264-2","0357-8542009","muhammad.tadeen9@company.com","476 Jad Mountains, Faisalabad","Administration","Accountant",60126,"2025-01-03",1,"1418-9479-9575-3894","Active"
1037,"Hassan","Raed","Male","23327-7060883-4","0376-1976376","hassan.raed63@company.com","73 Yafir Curve, Sialkot","Security","Security Supervisor",26843,"2023-04-17",5,"8072-7400-4744-5917","Active"
1038,"Ahmed","Ghafoor","Male","61456-2922663-4","0325-2437640","ahmed.ghafoor41@company.com","730 Latif Meadow, Karachi","Inventory","Stock Clerk",34254,"2021-05-26",7,"8380-8866-1340-9229","Active"
1039,"Bilal","Rafeek","Male","90931-6535234-2","0358-2917994","bilal.rafeek7@company.com","335 Laeeq Throughway, Quetta","Security","Security Guard",18163,"2023-02-18",5,"4758-7034-2500-1847","On Leave"
1040,"Ayesha","Wadi","Female","50247-4754128-0","0359-8240289","ayesha.wadi50@company.com","188 Zaheer Park, Gujranwala","Maintenance","Maintenance Technician",32716,"2021-09-25",6,"3409-2975-5182-2242","Active"
1041,"Amina","Ubayd","Female","20466-4888976-6","0383-8849575","amina.ubayd66@company.com","774 Idris Cliffs, Sialkot","Administration","Accountant",70493,"2021-01-07",1,"4019-1166-1812-3837","Active"
1042,"Fatima","Zahri","Female","42862-8564398-7","0366-9051353","fatima.zahri20@company.com","781 Aryan Lodge, Peshawar","Customer Service","Service Desk Staff",26701,"2021-01-13",8,"6691-5702-3635-5514","Active"
1043,"Ahmed","Tawkeel","Male","28773-3526445-1","0381-6103884","ahmed.tawkeel8@company.com","563 Mahmood Crossroad, Rawalpindi","Inventory","Inventory Manager",74894,"2025-08-22",6,"4930-1243-8818-9246","Active"
1044,"Maryam","Layth","Female","30517-3473578-7","0361-5466260","maryam.layth25@company.com","15 Saadat Mountains, Faisalabad","Management","Assistant Manager",82502,"2023-05-22",7,"5985-4219-6851-6187","Active"
1045,"Zain","Umaarah","Male","46191-9031492-1","0357-6275692","zain.umaarah19@company.com","393 Luay Tunnel, Quetta","Inventory","Stock Clerk",23127,"2021-10-03",6,"6676-9062-1224-4898","Active"
1046,"Muhammad","Sadaqat","Male","42654-1053824-3","0335-9739471","muhammad.sadaqat88@company.com","742 Saaqib Bridge, Quetta","Administration","HR Officer",40128,"2021-05-24",7,"2882-3013-2463-7799","Active"
1047,"Muhammad","Talha","Male","64298-1579563-4","0334-3828853","muhammad.talha35@company.com","167 Jahanzeb Via, Quetta","Inventory","Stock Clerk",28732,"2024-08-10",6,"9644-7636-3860-4859","On Leave"
1048,"Fatima","Rabar","Female","12451-8750772-1","0328-6818739","fatima.rabar94@company.com","329 Talib Branch, Islamabad","Customer Service","Service Desk Staff",33154,"2023-02-12",4,"8913-1679-9038-8752","On Leave"
1049,"Fatima","Bambad","Female","76361-5194628-8","0375-2779025","fatima.bambad73@company.com","320 Sadaqat Dam, Sialkot","Inventory","Stock Clerk",23148,"2025-02-19",8,"3745-2589-6348-3745","Active"
1050,"Hussain","Ayaan","Male","87140-4837076-9","0329-9505787","hussain.ayaan88@company.com","555 Bilaal Rue, Multan","Maintenance","Maintenance Technician",34076,"2025-03-03",4,"7448-4133-2911-6098","Active"
1051,"Hassan","Talat","Male","90150-9660659-3","0383-8288135","hassan.talat63@company.com","949 Mahad Walks, Sialkot","Customer Service","Customer Representative",29203,"2024-12-06",4,"1833-6601-4682-2876","On Leave"
1052,"Hira","Ubadah","Female","26099-1484404-1","0360-3587631","hira.ubadah62@company.com","861 Ihtishaam Trail, Quetta","Inventory","Inventory Manager",67772,"2025-02-21",7,"9121-2446-4352-3280","Active"
1053,"Ayesha","Ubayd","Female","92196-1487031-5","0376-4554759","ayesha.ubayd35@company.com","402 Zafar Road, Gujranwala","Sales","Cashier",21631,"2023-04-06",1,"9563-2330-1982-3689","Active"
1054,"Ahmed","Sabil","Male","64340-8639782-1","0398-8196027","ahmed.sabil98@company.com","118 Saabir Mountain, Islamabad","Security","Security Guard",25580,"2021-03-06",6,"7578-8181-6855-9807","Active"
1055,"Sadia","Huzaifa","Female","98053-8524254-7","0374-5547752","sadia.huzaifa14@company.com","551 Laqeet Stream, Rawalpindi","Inventory","Inventory Manager",68956,"2024-01-15",6,"7469-6094-3074-4755","Active"
1056,"Hussain","Tali","Male","67411-2169439-9","0374-2053094","hussain.tali67@company.com","557 Naail Mall, Islamabad","Sales","Sales Supervisor",47477,"2023-08-08",6,"2480-1413-6379-8567","Terminated"
1057,"Bilal","Jahdari","Male","55935-2822256-6","0367-9394214","bilal.jahdari30@company.com","637 Kasim Field, Karachi","Inventory","Stock Clerk",30878,"2024-08-27",9,"6232-3255-1049-1160","Terminated"
1058,"Hussain","Mourib","Male","98434-4626645-4","0378-6845515","hussain.mourib16@company.com","289 Ghiyaath Forge, Karachi","Customer Service","Service Desk Staff",30039,"2023-03-03",6,"7773-2577-1867-7482","Active"
1059,"Ahmed","Azban","Male","44366-6663167-6","0327-8086018","ahmed.azban45@company.com","979 Zuwayhir Green, Islamabad","Maintenance","Cleaner",20045,"2023-01-16",3,"1267-2975-9570-8180","Active"
1060,"Hassan","Aalam","Male","50701-4874401-0","0318-8769041","hassan.aalam50@company.com","165 Baqir Orchard, Gujranwala","Security","Security Guard",26010,"2023-10-17",9,"9639-9287-4100-5308","Terminated"
1061,"Sadia","Taheem","Female","58935-8178014-7","0315-2807862","sadia.taheem26@company.com","956 Ghaalib Ramp, Faisalabad","Administration","Accountant",51056,"2024-11-12",6,"2508-2652-8903-6319","Active"
