"payment_id","purchase_order_id","supplier_id","amount","payment_date","payment_method","reference_number","status","bank_account"
1,1,5013,295635.52,"2021-02-16","Cash","PMT-1-8470","Paid","6984-7647-7599"
2,14,5020,206247.73,"2021-02-08","Bank Transfer","PMT-14-8952","Paid","8381-3697-9223"
3,15,5024,70886.55,"2021-02-21","Cash","PMT-15-2751","Paid","7123-5738-2256"
4,16,5018,181441.55,"2021-02-08","Cheque","PMT-16-4921","Paid","6404-7730-9024"
5,18,5023,223909.0,"2021-01-30","Bank Transfer","PMT-18-7400","Paid","8706-9037-6130"
6,20,5003,35352.69,"2021-02-11","Cheque","PMT-20-6647","Paid","2548-8034-4140"
7,22,5004,34746.03,"2021-03-10","Bank Transfer","PMT-22-5373","Paid","6275-3944-6570"
8,27,5008,64022.83,"2021-03-24","Cash","PMT-27-6193","Paid","9174-6142-7555"
9,29,5012,148369.59,"2021-03-08","Bank Transfer","PMT-29-3540","Paid","3772-8378-5210"
10,30,5009,211714.57,"2021-03-16","Bank Transfer","PMT-30-7879","Paid","2808-5252-5510"
11,43,5020,116148.55,"2021-03-31","Bank Transfer","PMT-43-1935","Paid","3798-5105-7673"
12,45,5029,172366.19,"2021-04-28","Bank Transfer","PMT-45-6670","Paid","1821-5495-2102"
13,46,5021,20339.97,"2021-05-04","Bank Transfer","PMT-46-4739","Paid","1140-5311-5580"
14,48,5014,215958.31,"2021-04-17","Cash","PMT-48-6097","Paid","9203-4451-9770"
15,51,5019,191084.85,"2021-04-24","Cheque","PMT-51-9004","Paid","9835-5472-3629"
16,53,5009,82223.66,"2021-04-17","Bank Transfer","PMT-53-4973","Paid","3449-5883-6010"
17,54,5023,185918.64,"2021-03-14","Cash","PMT-54-9161","Paid","9129-1088-5979"
18,58,5015,197052.24,"2021-04-15","Bank Transfer","PMT-58-9063","Paid","8168-7557-7856"
19,62,5019,141849.01,"2021-05-20","Bank Transfer","PMT-62-3998","Paid","2670-9919-1045"
20,63,5011,127075.13,"2021-05-06","Cash","PMT-63-2458","Paid","4896-6645-5141"
21,65,5026,224495.09,"2021-05-28","Cheque","PMT-65-5022","Paid","8633-9273-7490"
22,71,5003,332591.29,"2021-05-18","Cheque","PMT-71-5720","Paid","9772-8084-4872"
23,73,5018,32947.35,"2021-05-17","Cheque","PMT-73-2867","Paid","8251-4075-3390"
24,75,5024,77958.71,"2021-05-04","Bank Transfer","PMT-75-3707","Paid","2377-8559-6428"
25,79,5021,49379.56,"2021-05-20","Bank Transfer","PMT-79-6904","Paid","5465-1012-7179"
26,80,5009,14916.0,"2021-05-31","Bank Transfer","PMT-80-8512","Paid","1974-4248-7197"
27,81,5020,290906.28,"2021-05-22","Cash","PMT-81-1546","Paid","9621-8741-7624"
28,82,5015,83306.1,"2021-05-17","Bank Transfer","PMT-82-9903","Paid","3762-8103-8864"
29,85,5014,156685.7,"2021-04-23","Cash","PMT-85-1096","Paid","1966-2785-5864"
30,88,5016,66811.47,"2021-06-09","Cash","PMT-88-3901","Paid","8784-8246-7185"
31,91,5025,155772.64,"2021-05-22","Cheque","PMT-91-3021","Paid","9340-8569-9401"
32,92,5025,153916.85,"2021-06-22","Cash","PMT-92-3534","Paid","3859-3993-7549"
33,94,5006,129045.92,"2021-05-22","Bank Transfer","PMT-94-2402","Paid","5823-8443-7432"
34,95,5005,152195.73,"2021-06-15","Bank Transfer","PMT-95-1935","Paid","5982-5931-9392"
35,97,5010,35090.05,"2021-06-01","Bank Transfer","PMT-97-1493","Paid","4573-2363-7234"
36,98,5023,91407.35,"2021-05-31","Bank Transfer","PMT-98-6400","Paid","6122-1273-9587"
37,99,5027,181370.86,"2021-07-11","Bank Transfer","PMT-99-7650","Paid","5130-5520-9668"
38,100,5015,93016.89,"2021-07-01","Bank Transfer","PMT-100-1665","Paid","5137-4300-4747"
39,101,5028,21735.17,"2021-06-28","Cheque","PMT-101-7969","Paid","3701-9091-1721"
40,105,5003,124708.36,"2021-06-11","Bank Transfer","PMT-105-3000","Paid","9885-3878-8990"
41,107,5002,40792.77,"2021-06-22","Cheque","PMT-107-1502","Paid","7852-5400-8628"
42,109,5002,226994.76,"2021-06-24","Bank Transfer","PMT-109-2065","Paid","9382-5308-4607"
43,111,5003,254223.63,"2021-05-24","Cash","PMT-111-4658","Paid","2070-4112-7132"
44,117,5001,344596.2,"2021-07-23","Cash","PMT-117-5439","Paid","8147-3334-7631"
45,119,5020,89291.92,"2021-07-26","Bank Transfer","PMT-119-8594","Paid","4403-8391-2657"
46,121,5014,167493.99,"2021-07-26","Cheque","PMT-121-5169","Paid","2790-6592-8920"
47,122,5005,195247.16,"2021-06-21","Cash","PMT-122-8309","Paid","3489-5663-8412"
48,123,5028,81942.77,"2021-07-09","Cash","PMT-123-7432","Paid","3523-1750-5449"
49,126,5020,115054.98,"2021-07-14","Bank Transfer","PMT-126-4683","Paid","6946-2278-4339"
50,129,5024,38096.21,"2021-07-13","Bank Transfer","PMT-129-5138","Paid","2866-5390-2859"
51,130,5009,243050.66,"2021-07-16","Cheque","PMT-130-9437","Paid","4102-8816-4162"
52,134,5008,28432.99,"2021-07-15","Cash","PMT-134-5470","Paid","1909-8447-3965"
53,141,5011,125042.65,"2021-08-13","Bank Transfer","PMT-141-4602","Paid","6556-8274-7083"
54,145,5019,68253.86,"2021-08-04","Cheque","PMT-145-7801","Paid","3085-9651-2150"
