"salary_id","employee_id","month","year","base_salary","house_rent_allowance","medical_allowance","conveyance_allowance","gross_salary","provident_fund","income_tax","other_deductions","total_deductions","net_salary","payment_date","bank_account"
1,1000,1,2023,22914.05,3437.11,1145.7,2494,29990.86,2291.4,0.0,1729,4020.4,25970.45,"2023-01-26","4459-2168-9390-7675"
2,1000,2,2023,21629.12,3244.37,1081.46,4478,30432.95,2162.91,0.0,1755,3917.91,26515.04,"2023-02-28","4459-2168-9390-7675"
3,1000,3,2023,22955.2,3443.28,1147.76,2513,30059.24,2295.52,0.0,990,3285.52,26773.72,"2023-03-27","4459-2168-9390-7675"
4,1000,4,2023,21919.62,3287.94,1095.98,4086,30389.54,2191.96,0.0,1952,4143.96,26245.58,"2023-04-26","4459-2168-9390-7675"
5,1000,5,2023,22318.37,3347.76,1115.92,3355,30137.04,2231.84,0.0,1058,3289.84,26847.2,"2023-05-27","4459-2168-9390-7675"
6,1000,6,2023,23091.34,3463.7,1154.57,2749,30458.61,2309.13,0.0,767,3076.13,27382.48,"2023-06-27","4459-2168-9390-7675"
7,1000,7,2023,22918.02,3437.7,1145.9,3187,30688.63,2291.8,0.0,1003,3294.8,27393.83,"2023-07-25","4459-2168-9390-7675"
8,1000,8,2023,22983.47,3447.52,1149.17,3806,31386.16,2298.35,0.0,805,3103.35,28282.82,"2023-08-28","4459-2168-9390-7675"
9,1000,9,2023,21774.47,3266.17,1088.72,3005,29134.37,2177.45,0.0,1128,3305.45,25828.92,"2023-09-27","4459-2168-9390-7675"
10,1000,10,2023,22321.18,3348.18,1116.06,3036,29821.42,2232.12,0.0,542,2774.12,27047.3,"2023-10-28","4459-2168-9390-7675"
11,1000,11,2023,23310.04,3496.51,1165.5,2267,30239.04,2331.0,0.0,504,2835.0,27404.04,"2023-11-25","4459-2168-9390-7675"
12,1000,12,2023,23431.15,3514.67,1171.56,3441,31558.39,2343.12,0.0,1444,3787.12,27771.27,"2023-12-27","4459-2168-9390-7675"
13,1001,1,2023,136224.81,20433.72,6811.24,2439,165908.77,13622.48,4311.24,640,18573.72,147335.05,"2023-01-27","6410-9924-7892-8281"
14,1001,2,2023,125374.62,18806.19,6268.73,2776,153225.54,12537.46,3768.73,1549,17855.19,135370.35,"2023-02-28","6410-9924-7892-8281"
15,1001,3,2023,133265.04,19989.76,6663.25,2565,162483.05,13326.5,4163.25,1559,19048.76,143434.3,"2023-03-28","6410-9924-7892-8281"
16,1001,4,2023,137083.39,20562.51,6854.17,3004,167504.07,13708.34,4354.17,749,18811.51,148692.56,"2023-04-28","6410-9924-7892-8281"
17,1001,5,2023,126138.28,18920.74,6306.91,3330,154695.93,12613.83,3806.91,518,16938.74,137757.19,"2023-05-25","6410-9924-7892-8281"
18,1001,6,2023,131580.29,19737.04,6579.01,3987,161883.35,13158.03,4079.01,1554,18791.04,143092.31,"2023-06-27","6410-9924-7892-8281"
19,1001,7,2023,128203.8,19230.57,6410.19,2388,156232.56,12820.38,3910.19,1201,17931.57,138300.99,"2023-07-27","6410-9924-7892-8281"
20,1001,8,2023,133957.0,20093.55,6697.85,4840,165588.4,13395.7,4197.85,1100,18693.55,146894.85,"2023-08-27","6410-9924-7892-8281"
21,1001,9,2023,137349.62,20602.44,6867.48,4425,169244.54,13734.96,4367.48,1664,19766.44,149478.1,"2023-09-27","6410-9924-7892-8281"
22,1001,10,2023,129970.01,19495.5,6498.5,3205,159169.01,12997.0,3998.5,1512,18507.5,140661.51,"2023-10-27","6410-9924-7892-8281"
23,1001,11,2023,137771.62,20665.74,6888.58,4235,169560.94,13777.16,4388.58,1064,19229.74,150331.2,"2023-11-28","6410-9924-7892-8281"
24,1001,12,2023,136636.42,20495.46,6831.82,2399,166362.7,13663.64,4331.82,1696,19691.46,146671.24,"2023-12-28","6410-9924-7892-8281"
25,1002,1,2023,23501.29,3525.19,1175.06,4445,32646.55,2350.13,0.0,624,2974.13,29672.42,"2023-01-26","6938-8955-2611-2414"
26,1002,2,2023,23667.28,3550.09,1183.36,2714,31114.73,2366.73,0.0,1973,4339.73,26775.01,"2023-02-26","6938-8955-2611-2414"
27,1002,3,2023,23182.97,3477.45,1159.15,2187,30006.56,2318.3,0.0,641,2959.3,27047.27,"2023-03-26","6938-8955-2611-2414"
28,1002,4,2023,23345.67,3501.85,1167.28,4216,32230.8,2334.57,0.0,1867,4201.57,28029.23,"2023-04-28","6938-8955-2611-2414"
29,1002,5,2023,22380.63,3357.09,1119.03,2879,29735.75,2238.06,0.0,625,2863.06,26872.69,"2023-05-26","6938-8955-2611-2414"
30,1002,6,2023,23408.42,3511.26,1170.42,4901,32991.1,2340.84,0.0,1512,3852.84,29138.26,"2023-06-26","6938-8955-2611-2414"
31,1002,7,2023,23745.47,3561.82,1187.27,4676,33170.56,2374.55,0.0,1319,3693.55,29477.01,"2023-07-28","6938-8955-2611-2414"
32,1002,8,2023,24110.12,3616.52,1205.51,2569,31501.15,2411.01,0.0,762,3173.01,28328.13,"2023-08-28","6938-8955-2611-2414"
33,1002,9,2023,23506.58,3525.99,1175.33,2951,31158.89,2350.66,0.0,1625,3975.66,27183.23,"2023-09-27","6938-8955-2611-2414"
34,1002,10,2023,22829.54,3424.43,1141.48,2958,30353.45,2282.95,0.0,1492,3774.95,26578.49,"2023-10-26","6938-8955-2611-2414"
35,1002,11,2023,24307.67,3646.15,1215.38,2337,31506.21,2430.77,0.0,1044,3474.77,28031.44,"2023-11-26","6938-8955-2611-2414"
36,1002,12,2023,22285.6,3342.84,1114.28,4912,31654.72,2228.56,0.0,1495,3723.56,27931.16,"2023-12-25","6938-8955-2611-2414"
37,1003,1,2023,68331.42,10249.71,3416.57,2674,84671.7,6833.14,916.57,1457,9206.71,75464.99,"2023-01-27","2528-5609-5399-3213"
