"bonus_id","employee_id","bonus_type","bonus_amount","bonus_month","bonus_year","payment_date","reason","bank_account"
1,1092,"Sales Target",31819.84,12,2022,"2022-12-11","Sales Target Bonus for excellent performance","9655-1187-2981-2737"
2,1058,"Annual",61512.85,3,2022,"2022-03-19","Annual Bonus for excellent performance","1543-8277-7357-8848"
3,1196,"Sales Target",29372.33,3,2022,"2022-03-18","Sales Target Bonus for excellent performance","4554-2886-7197-4383"
4,1106,"Performance",15312.55,4,2022,"2022-04-12","Performance Bonus for excellent performance","2916-4680-3908-4913"
5,1023,"Sales Target",60953.29,5,2022,"2022-05-20","Sales Target Bonus for excellent performance","3183-5047-5064-2364"
6,1130,"Sales Target",83359.63,4,2022,"2022-04-14","Sales Target Bonus for excellent performance","7126-5065-3618-7066"
7,1155,"Annual",35145.91,12,2022,"2022-12-11","Annual Bonus for excellent performance","6918-8733-9413-7661"
8,1147,"Sales Target",25801.76,9,2022,"2022-09-10","Sales Target Bonus for excellent performance","4289-8600-7711-6806"
9,1188,"Eid",148104.85,3,2022,"2022-03-16","Eid Bonus for excellent performance","2554-9420-9018-4613"
10,1121,"Performance",62452.18,3,2022,"2022-03-13","Performance Bonus for excellent performance","4279-2167-3458-2198"
11,1123,"Annual",76984.98,2,2022,"2022-02-17","Annual Bonus for excellent performance","8016-9686-1077-2959"
12,1090,"Annual",205778.9,8,2022,"2022-08-19","Annual Bonus for excellent performance","8891-5361-4989-9895"
13,1189,"Annual",108076.42,3,2022,"2022-03-18","Annual Bonus for excellent performance","4543-5185-6684-5011"
14,1007,"Eid",75180.37,7,2022,"2022-07-13","Eid Bonus for excellent performance","5105-3166-6121-5795"
15,1101,"Eid",40175.74,12,2022,"2022-12-12","Eid Bonus for excellent performance","2556-1972-4976-3598"
16,1025,"Special Achievement",35266.29,3,2022,"2022-03-17","Special Achievement Bonus for excellent performance","5728-8695-6384-7624"
17,1041,"Performance",44776.94,12,2022,"2022-12-16","Performance Bonus for excellent performance","4694-2370-5254-3508"
18,1149,"Eid",12936.92,1,2022,"2022-01-16","Eid Bonus for excellent performance","4427-8350-7691-4168"
19,1200,"Performance",50597.49,12,2022,"2022-12-19","Performance Bonus for excellent performance","3370-7397-4366-2901"
20,1076,"Special Achievement",66433.46,6,2022,"2022-06-13","Special Achievement Bonus for excellent performance","2591-6095-5063-2422"
21,1028,"Annual",76325.62,11,2022,"2022-11-15","Annual Bonus for excellent performance","6917-6726-1476-9497"
22,1115,"Special Achievement",86428.92,8,2022,"2022-08-15","Special Achievement Bonus for excellent performance","7464-8452-2922-1618"
23,1067,"Sales Target",10965.29,9,2022,"2022-09-14","Sales Target Bonus for excellent performance","6780-8897-4199-6150"
24,1085,"Performance",46328.54,1,2022,"2022-01-18","Performance Bonus for excellent performance","6453-4138-6494-8457"
25,1151,"Special Achievement",302267.41,6,2022,"2022-06-10","Special Achievement Bonus for excellent performance","8588-7324-7678-5903"
26,1171,"Performance",73820.36,9,2022,"2022-09-10","Performance Bonus for excellent performance","8545-4614-3423-6018"
27,1175,"Eid",38764.71,12,2022,"2022-12-15","Eid Bonus for excellent performance","6807-6853-3431-1686"
28,1003,"Sales Target",18570.65,9,2022,"2022-09-13","Sales Target Bonus for excellent performance","3897-5557-1407-3843"
