"salary_id","employee_id","month","year","base_salary","house_rent_allowance","medical_allowance","conveyance_allowance","gross_salary","provident_fund","income_tax","other_deductions","total_deductions","net_salary","payment_date","bank_account"
1,1000,1,2022,49609.04,7441.36,2480.45,3538,63068.85,4960.9,0.0,1715,6675.9,56392.94,"2022-01-27","2116-3645-4158-1043"
2,1000,2,2022,47594.48,7139.17,2379.72,2472,59585.38,4759.45,0.0,1324,6083.45,53501.93,"2022-02-27","2116-3645-4158-1043"
3,1000,3,2022,46428.7,6964.3,2321.43,3230,58944.43,4642.87,0.0,1483,6125.87,52818.57,"2022-03-26","2116-3645-4158-1043"
4,1000,4,2022,47775.14,7166.27,2388.76,2883,60213.16,4777.51,0.0,666,5443.51,54769.65,"2022-04-25","2116-3645-4158-1043"
5,1000,5,2022,46684.86,7002.73,2334.24,3012,59033.83,4668.49,0.0,1753,6421.49,52612.34,"2022-05-25","2116-3645-4158-1043"
6,1000,6,2022,46585.33,6987.8,2329.27,4667,60569.4,4658.53,0.0,639,5297.53,55271.86,"2022-06-25","2116-3645-4158-1043"
7,1000,7,2022,48559.12,7283.87,2427.96,2855,61125.94,4855.91,0.0,1590,6445.91,54680.03,"2022-07-28","2116-3645-4158-1043"
8,1000,8,2022,50482.75,7572.41,2524.14,3446,64025.3,5048.27,24.14,1949,7021.41,57003.88,"2022-08-26","2116-3645-4158-1043"
9,1000,9,2022,48740.5,7311.08,2437.03,4297,62785.6,4874.05,0.0,1013,5887.05,56898.55,"2022-09-25","2116-3645-4158-1043"
10,1000,10,2022,50939.1,7640.86,2546.95,3802,64928.92,5093.91,46.95,826,5966.86,58962.05,"2022-10-26","2116-3645-4158-1043"
11,1000,11,2022,47768.07,7165.21,2388.4,2845,60166.68,4776.81,0.0,1935,6711.81,53454.88,"2022-11-28","2116-3645-4158-1043"
12,1000,12,2022,50823.16,7623.47,2541.16,2956,63943.79,5082.32,41.16,1946,7069.47,56874.32,"2022-12-27","2116-3645-4158-1043"
13,1001,1,2022,36354.03,5453.1,1817.7,2413,46037.83,3635.4,0.0,1178,4813.4,41224.43,"2022-01-27","9089-6266-7939-7385"
14,1001,2,2022,38577.87,5786.68,1928.89,3955,50248.45,3857.79,0.0,605,4462.79,45785.66,"2022-02-25","9089-6266-7939-7385"
15,1001,3,2022,39720.89,5958.13,1986.04,2239,49904.07,3972.09,0.0,925,4897.09,45006.98,"2022-03-25","9089-6266-7939-7385"
16,1001,4,2022,37234.11,5585.12,1861.71,4109,48789.93,3723.41,0.0,507,4230.41,44559.52,"2022-04-26","9089-6266-7939-7385"
17,1001,5,2022,40055.78,6008.37,2002.79,4898,52964.93,4005.58,0.0,1344,5349.58,47615.35,"2022-05-27","9089-6266-7939-7385"
18,1001,6,2022,36669.54,5500.43,1833.48,2478,46481.45,3666.95,0.0,906,4572.95,41908.5,"2022-06-25","9089-6266-7939-7385"
19,1001,7,2022,36727.72,5509.16,1836.39,2290,46363.27,3672.77,0.0,1010,4682.77,41680.5,"2022-07-26","9089-6266-7939-7385"
20,1001,8,2022,37883.07,5682.46,1894.15,3841,49300.69,3788.31,0.0,528,4316.31,44984.38,"2022-08-26","9089-6266-7939-7385"
21,1001,9,2022,38471.25,5770.69,1923.56,2954,49119.49,3847.12,0.0,1348,5195.12,43924.37,"2022-09-27","9089-6266-7939-7385"
22,1001,10,2022,39426.01,5913.9,1971.3,2269,49580.21,3942.6,0.0,1148,5090.6,44489.61,"2022-10-26","9089-6266-7939-7385"
23,1001,11,2022,37617.71,5642.66,1880.89,2042,47183.25,3761.77,0.0,624,4385.77,42797.48,"2022-11-27","9089-6266-7939-7385"
24,1001,12,2022,37898.83,5684.82,1894.94,2007,47485.59,3789.88,0.0,723,4512.88,42972.71,"2022-12-25","9089-6266-7939-7385"
25,1002,1,2022,37862.03,5679.3,1893.1,3038,48472.43,3786.2,0.0,1151,4937.2,43535.23,"2022-01-25","7974-8834-9764-1718"
26,1002,2,2022,37998.56,5699.78,1899.93,2687,48285.27,3799.86,0.0,580,4379.86,43905.41,"2022-02-25","7974-8834-9764-1718"
27,1002,3,2022,37913.59,5687.04,1895.68,2690,48186.3,3791.36,0.0,1122,4913.36,43272.94,"2022-03-25","7974-8834-9764-1718"
28,1002,4,2022,37052.18,5557.83,1852.61,3058,47520.62,3705.22,0.0,696,4401.22,43119.4,"2022-04-25","7974-8834-9764-1718"
29,1002,5,2022,35582.8,5337.42,1779.14,2142,44841.36,3558.28,0.0,1648,5206.28,39635.08,"2022-05-28","7974-8834-9764-1718"
30,1002,6,2022,35263.19,5289.48,1763.16,4448,46763.83,3526.32,0.0,1485,5011.32,41752.51,"2022-06-27","7974-8834-9764-1718"
31,1002,7,2022,37457.27,5618.59,1872.86,2968,47916.72,3745.73,0.0,1363,5108.73,42808.0,"2022-07-28","7974-8834-9764-1718"
32,1002,8,2022,37630.92,5644.64,1881.55,2078,47235.11,3763.09,0.0,1555,5318.09,41917.02,"2022-08-27","7974-8834-9764-1718"
33,1002,9,2022,35895.26,5384.29,1794.76,3395,46469.31,3589.53,0.0,943,4532.53,41936.79,"2022-09-25","7974-8834-9764-1718"
34,1002,10,2022,37913.31,5687.0,1895.67,3131,48626.98,3791.33,0.0,1253,5044.33,43582.64,"2022-10-25","7974-8834-9764-1718"
35,1002,11,2022,38616.84,5792.53,1930.84,4579,50919.2,3861.68,0.0,1992,5853.68,45065.52,"2022-11-27","7974-8834-9764-1718"
36,1002,12,2022,37808.87,5671.33,1890.44,2167,47537.65,3780.89,0.0,502,4282.89,43254.76,"2022-12-26","7974-8834-9764-1718"
37,1003,1,2022,23143.3,3471.49,1157.16,3818,31589.95,2314.33,0.0,1035,3349.33,28240.62,"2022-01-26","3897-5557-1407-3843"
38,1003,2,2022,23932.89,3589.93,1196.64,2166,30885.46,2393.29,0.0,1099,3492.29,27393.17,"2022-02-27","3897-5557-1407-3843"
39,1003,3,2022,23262.16,3489.32,1163.11,4662,32576.6,2326.22,0.0,1882,4208.22,28368.38,"2022-03-25","3897-5557-1407-3843"
40,1003,4,2022,24776.15,3716.42,1238.81,4667,34398.38,2477.61,0.0,705,3182.61,31215.76,"2022-04-28","3897-5557-1407-3843"
41,1003,5,2022,24259.48,3638.92,1212.97,3656,32767.38,2425.95,0.0,1308,3733.95,29033.43,"2022-05-27","3897-5557-1407-3843"
42,1003,6,2022,23278.62,3491.79,1163.93,4941,32875.34,2327.86,0.0,1722,4049.86,28825.48,"2022-06-28","3897-5557-1407-3843"
43,1003,7,2022,24656.72,3698.51,1232.84,4883,34471.07,2465.67,0.0,647,3112.67,31358.39,"2022-07-25","3897-5557-1407-3843"
44,1003,8,2022,24614.73,3692.21,1230.74,3365,32902.68,2461.47,0.0,1873,4334.47,28568.2,"2022-08-25","3897-5557-1407-3843"
45,1003,9,2022,23393.87,3509.08,1169.69,3690,31762.64,2339.39,0.0,881,3220.39,28542.26,"2022-09-25","3897-5557-1407-3843"
46,1003,10,2022,24928.32,3739.25,1246.42,3353,33266.98,2492.83,0.0,1625,4117.83,29149.15,"2022-10-28","3897-5557-1407-3843"
47,1003,11,2022,23822.35,3573.35,1191.12,2425,31011.82,2382.23,0.0,1481,3863.23,27148.58,"2022-11-28","3897-5557-1407-3843"
48,1003,12,2022,23928.94,3589.34,1196.45,3722,32436.73,2392.89,0.0,1670,4062.89,28373.83,"2022-12-27","3897-5557-1407-3843"
49,1004,1,2022,25048.57,3757.28,1252.43,2493,32551.28,2504.86,0.0,1732,4236.86,28314.42,"2022-01-25","5206-8806-5832-9971"
50,1004,2,2022,27599.1,4139.87,1379.96,4855,37973.92,2759.91,0.0,656,3415.91,34558.01,"2022-02-25","5206-8806-5832-9971"
51,1004,3,2022,25157.01,3773.55,1257.85,3980,34168.41,2515.7,0.0,1593,4108.7,30059.71,"2022-03-25","5206-8806-5832-9971"
52,1004,4,2022,25877.72,3881.66,1293.89,2842,33895.26,2587.77,0.0,717,3304.77,30590.49,"2022-04-26","5206-8806-5832-9971"
53,1004,5,2022,27073.7,4061.06,1353.69,2149,34637.44,2707.37,0.0,989,3696.37,30941.07,"2022-05-28","5206-8806-5832-9971"
54,1004,6,2022,26186.44,3927.97,1309.32,2872,34295.72,2618.64,0.0,842,3460.64,30835.08,"2022-06-25","5206-8806-5832-9971"
55,1004,7,2022,26981.55,4047.23,1349.08,3725,36102.86,2698.15,0.0,1709,4407.15,31695.7,"2022-07-27","5206-8806-5832-9971"
56,1004,8,2022,25169.72,3775.46,1258.49,3962,34165.67,2516.97,0.0,1779,4295.97,29869.7,"2022-08-27","5206-8806-5832-9971"
57,1004,9,2022,25476.01,3821.4,1273.8,3259,33830.21,2547.6,0.0,1479,4026.6,29803.61,"2022-09-26","5206-8806-5832-9971"
58,1004,10,2022,26658.25,3998.74,1332.91,3789,35778.9,2665.83,0.0,613,3278.83,32500.08,"2022-10-25","5206-8806-5832-9971"
59,1004,11,2022,26307.41,3946.11,1315.37,4087,35655.89,2630.74,0.0,1963,4593.74,31062.15,"2022-11-27","5206-8806-5832-9971"
60,1004,12,2022,26992.38,4048.86,1349.62,2291,34681.86,2699.24,0.0,1662,4361.24,30320.62,"2022-12-26","5206-8806-5832-9971"
61,1005,1,2022,58816.84,8822.53,2940.84,2105,72685.2,5881.68,440.84,1547,7869.53,64815.68,"2022-01-28","6278-4936-5502-4463"
62,1005,2,2022,59325.68,8898.85,2966.28,2999,74189.81,5932.57,466.28,502,6900.85,67288.96,"2022-02-25","6278-4936-5502-4463"
63,1005,3,2022,54929.26,8239.39,2746.46,3681,69596.11,5492.93,246.46,1660,7399.39,62196.72,"2022-03-27","6278-4936-5502-4463"
64,1005,4,2022,57521.0,8628.15,2876.05,4392,73417.2,5752.1,376.05,583,6711.15,66706.05,"2022-04-27","6278-4936-5502-4463"
65,1005,5,2022,56269.12,8440.37,2813.46,4499,72021.94,5626.91,313.46,1048,6988.37,65033.57,"2022-05-28","6278-4936-5502-4463"
66,1005,6,2022,55938.03,8390.7,2796.9,4368,71493.64,5593.8,296.9,896,6786.7,64706.93,"2022-06-26","6278-4936-5502-4463"
67,1005,7,2022,55394.15,8309.12,2769.71,2553,69025.98,5539.41,269.71,1079,6888.12,62137.86,"2022-07-28","6278-4936-5502-4463"
68,1005,8,2022,58189.41,8728.41,2909.47,2262,72089.29,5818.94,409.47,1372,7600.41,64488.88,"2022-08-26","6278-4936-5502-4463"
69,1005,9,2022,59571.26,8935.69,2978.56,4445,75930.51,5957.13,478.56,861,7296.69,68633.82,"2022-09-27","6278-4936-5502-4463"
70,1005,10,2022,57413.47,8612.02,2870.67,4327,73223.17,5741.35,370.67,795,6907.02,66316.15,"2022-10-27","6278-4936-5502-4463"
71,1005,11,2022,55572.92,8335.94,2778.65,3943,70630.51,5557.29,278.65,997,6832.94,63797.57,"2022-11-26","6278-4936-5502-4463"
72,1005,12,2022,59853.36,8978.0,2992.67,4233,76057.03,5985.34,492.67,784,7262.0,68795.02,"2022-12-27","6278-4936-5502-4463"
73,1006,1,2022,41642.96,6246.44,2082.15,4280,54251.56,4164.3,0.0,1919,6083.3,48168.26,"2022-01-28","2258-6170-7752-4010"
74,1006,2,2022,39894.94,5984.24,1994.75,2350,50223.92,3989.49,0.0,1110,5099.49,45124.43,"2022-02-27","2258-6170-7752-4010"
75,1006,3,2022,41342.5,6201.38,2067.13,4061,53672.0,4134.25,0.0,1695,5829.25,47842.75,"2022-03-25","2258-6170-7752-4010"
76,1006,4,2022,43066.51,6459.98,2153.33,2353,54032.81,4306.65,0.0,1886,6192.65,47840.16,"2022-04-28","2258-6170-7752-4010"
77,1006,5,2022,40552.02,6082.8,2027.6,2716,51378.42,4055.2,0.0,836,4891.2,46487.22,"2022-05-25","2258-6170-7752-4010"
78,1006,6,2022,40828.98,6124.35,2041.45,2008,51002.77,4082.9,0.0,908,4990.9,46011.87,"2022-06-28","2258-6170-7752-4010"
79,1006,7,2022,43344.87,6501.73,2167.24,2963,54976.84,4334.49,0.0,1462,5796.49,49180.35,"2022-07-25","2258-6170-7752-4010"
80,1006,8,2022,42669.98,6400.5,2133.5,3893,55096.97,4267.0,0.0,1687,5954.0,49142.98,"2022-08-25","2258-6170-7752-4010"
81,1006,9,2022,42822.2,6423.33,2141.11,4897,56283.64,4282.22,0.0,752,5034.22,51249.42,"2022-09-28","2258-6170-7752-4010"
82,1006,10,2022,42703.85,6405.58,2135.19,2424,53668.62,4270.39,0.0,503,4773.39,48895.24,"2022-10-28","2258-6170-7752-4010"
83,1006,11,2022,40174.42,6026.16,2008.72,3553,51762.3,4017.44,0.0,1338,5355.44,46406.86,"2022-11-25","2258-6170-7752-4010"
